"","data...1.","fdr.out.pval","fdr"
"2083","VNG5052G",0.0887239576831237,0.407146268526763
"2084","VNG5053H",0.743333566262957,0.956056033778723
"2085","VNG5055G",0.933738583277237,0.999705669669196
"2086","VNG5057G",0.998877647398439,0.99999011199382
"2087","VNG5059C",0.119524380531524,0.467958422961919
"2088","VNG5061C",0.0209529365594692,0.220376061443049
"2089","VNG5062C",0.0340207423414695,0.274711783456605
"2090","VNG5063H",0.239289288505061,0.646347990518552
"2091","VNG5064H",0.893646226255358,0.99645572197111
"2092","VNG5066G",0.832142214524299,0.980724400568018
"2093","VNG5068G",0.469282284953491,0.836872137687124
"2094","VNG5069C",0.811314293901135,0.973099348040099
"2095","VNG5071C",0.545312982519122,0.881907788440628
"2096","VNG5073H",0.769720560810145,0.964327212023462
"2097","VNG5074C",0.162078235199477,0.538764216729564
"2098","VNG5075C",0.662210502596434,0.925629124188376
"2099","VNG5076G",0.0549822987757872,0.333226053186589
"2100","VNG5077G",0.397394822175006,0.788153025581416
"2101","VNG5078G",0.187204835026069,0.578634565012993
"2102","VNG5079H",0.199728572144997,0.593988318646831
"2103","VNG5080H",0.654706049111962,0.920349946938915
"2104","VNG5081H",0.541543991802439,0.878773211849799
"2105","VNG5083H",0.00213738106872316,0.0621936699433436
"2106","VNG5085H",0.908854574558899,0.996879933252226
"2107","VNG5086H",0.328818087837201,0.727055965188715
"2108","VNG5088H",0.290716266673288,0.690875236010606
"2109","VNG5089G",0.569154856417367,0.894828152219426
"2110","VNG5090C",0.431197746761747,0.807864630935358
"2111","VNG5091C",0.833580582316167,0.981038441182504
"2112","VNG5093C",0.515954022042187,0.86543889780225
"2113","VNG5097H",0.0493721553689064,0.316472548574743
"2114","VNG5098C",0.799965926790918,0.973099348040099
"2115","VNG5100C",0.533839094052787,0.878617336662718
"2116","VNG5102H",0.0823270223144588,0.394380945218964
"2117","VNG5104H",0.906831543110664,0.996879933252226
"2118","VNG5105H",0.56616436256416,0.894828152219426
"2119","VNG5106H",0.988061833920699,0.99999011199382
"2120","VNG5108H",0.241546625892961,0.646347990518552
"2121","VNG5112H",0.952911683367765,0.99999011199382
"2122","VNG5115H",0.0946119858173191,0.419894793978042
"2123","VNG5116H",0.28958023557129,0.690875236010606
"2124","VNG5118H",0.754269241884576,0.959324949932688
"2125","VNG5119H",0.830133627702383,0.980724400568018
"2126","VNG5120H",0.952847590010509,0.99999011199382
"2127","VNG5123H",0.00394261175808386,0.0873779767656577
"2128","VNG5124H",0.972214040095864,0.99999011199382
"2129","VNG5126G",0.811694186027006,0.973099348040099
"2130","VNG5129H",0.169986166116049,0.55355060879039
"2131","VNG5130H",0.0188197764479393,0.205919209796588
"2132","VNG5131H",0.686857002152264,0.940363265924377
"2133","VNG5132H",0.232740376468506,0.637967121545431
"2134","VNG5133C",0.262690128693811,0.668564484480538
"2135","VNG5134G",0.210090232489372,0.608940453567537
"2136","VNG5135H",0.733573999940584,0.953448562140981
"2137","VNG5136G",0.847524946391691,0.984515881578892
"2138","VNG5137H",0.0193386450154876,0.208128914964889
"2139","VNG5139C",0.0806938101106049,0.388885831858337
"2140","VNG5141G",0.0881981247827525,0.405713944784511
"2141","VNG5142G",0.383626241214422,0.780714056267982
"2142","VNG5143C",0.88979834307831,0.99645572197111
"2143","VNG5144H",0.102625620392311,0.439824087395617
"2144","VNG5145H",0.999746269067441,0.99999011199382
"2145","VNG5146H",0.95888884022763,0.99999011199382
"2146","VNG5148H",0.863241147662675,0.991756225174926
"2147","VNG5149H",0.85212798511769,0.986069028101473
"2148","VNG5150H",0.83681770621842,0.981038441182504
"2149","VNG5152H",0.693653867173261,0.942677962183367
"2150","VNG5153H",0.186610631928107,0.578634565012993
"2151","VNG5154H",0.378777115549785,0.778976073110098
"2152","VNG5156H",0.10405915467103,0.442442867417034
"2153","VNG5157H",0.967531783823237,0.99999011199382
"2154","VNG5160H",0.417129329424612,0.799608938194145
"2155","VNG5163G",0.490335035389102,0.850671339715097
"2156","VNG5164C",0.635169544187547,0.910219692568449
"2157","VNG5165H",0.251213219140948,0.658200574168424
"2158","VNG5166H",0.93754370251049,0.99999011199382
"2159","VNG5167H",0.768022579716756,0.964327212023462
"2160","VNG5168H",0.163283387974467,0.540524318812028
"2161","VNG5169H",0.0614214800153349,0.349521262971174
"2162","VNG5173H",0.993625449246048,0.99999011199382
"2163","VNG5174H",0.940292608351529,0.99999011199382
"2164","VNG5175H",0.946053894132799,0.99999011199382
"2165","VNG5176C",0.495097251394912,0.854229621385901
"2166","VNG5177C",0.0988949997132867,0.430758619440813
"2167","VNG5178H",0.744299157662994,0.95666494016178
"2168","VNG5180G",0.478716293886331,0.838627084180434
"2169","VNG5181G",0.484315627586259,0.844736559743476
"2170","VNG5182G",0.384623867293089,0.780714056267982
"2171","VNG5183G",0.0255479354101949,0.246245160580192
"2172","VNG5185H",0.177769677314301,0.565800150301413
"2173","VNG5186H",0.958947209474452,0.99999011199382
"2174","VNG5189H",0.92322319846737,0.99798670266363
"2175","VNG5191H",0.459042930374004,0.831648863415851
"2176","VNG5192H",0.518770925964825,0.866423258396367
"2177","VNG5194C",0.963753202338384,0.99999011199382
"2178","VNG5195H",0.985800387012033,0.99999011199382
"2179","VNG5197H",0.758381441183018,0.960015703104128
"2180","VNG5199H",0.312256838076913,0.709110041691984
"2181","VNG5200H",0.771342222049681,0.964465060316623
"2182","VNG5203C",0.940454738848674,0.99999011199382
"2183","VNG6005H",0.844031791194907,0.984515881578892
"2184","VNG6052H",0.877111018197924,0.995467793455688
"2185","VNG6081G",0.942099471969039,0.99999011199382
"2186","VNG6133H",0.326335199216442,0.725189331592093
"2187","VNG6135C",0.0449727901565683,0.307506257480809
"2188","VNG6142C",0.837294977292366,0.981038441182504
"2189","VNG6143H",0.246475134048064,0.650759429829871
"2190","VNG6144G",0.201747699645497,0.596298619641863
"2191","VNG6145H",0.0697477446251024,0.365490364847698
"2192","VNG6148H",0.906660768378611,0.996879933252226
"2193","VNG6149H",0.0650637115456833,0.354892972067364
"2194","VNG6150G",0.398116397723616,0.788153025581416
"2195","VNG6152H",0.0897704574027304,0.408353647682836
"2196","VNG6153G",0.331823906428029,0.732637879877892
"2197","VNG6155H",0.258945850093581,0.662642596902968
"2198","VNG6156H",0.268383387511556,0.670701911006756
"2199","VNG6157H",0.778554898995325,0.965693677467287
"2200","VNG6158H",0.304719155703482,0.703198051623421
"2201","VNG6159H",0.0177343747653663,0.200902061289281
"2202","VNG6160H",0.0386200834890997,0.28685065075327
"2203","VNG6162H",0.190158137080941,0.580068196671897
"2204","VNG6163H",0.145037530134283,0.512651063803064
"2205","VNG6164G",0.673969730758378,0.93229242295107
"2206","VNG6165H",0.423797096605233,0.803406818208972
"2207","VNG6166H",0.405079438015116,0.79192341161926
"2208","VNG6168H",0.612210919934162,0.905860793983963
"2209","VNG6170H",0.90812713513263,0.996879933252226
"2210","VNG6171H",0.761248423184077,0.960375748005102
"2211","VNG6173C",0.267581080679904,0.670701911006756
"2212","VNG6175G",0.945789538710125,0.99999011199382
"2213","VNG6176G",0.267110548501874,0.670701911006756
"2214","VNG6177G",0.957240183275648,0.99999011199382
"2215","VNG6178G",0.499963145202112,0.857557078966349
"2216","VNG6179G",0.599823886003045,0.901082354976052
"2217","VNG6180H",0.466635626610528,0.836682375381169
