"CycID","filter_type","ar_method","period_number","period","amplitude","phase","mean","R_square","R2_adjust","coef_var","pvalue","fdr_BH","0","3","6","9","12","15","18","21","24"
"VNG5062C","1","burg","1","24.7438016528926","0.0605213577808418","24.578178802577","1.28787037777778","0.0804346327140415","-0.226087156381278","0.137117105042783","0.777584901909847","0.912743307327494","1.646102768","1.259282676","1.197966144","1.435664134","1.167340629","1.353842801","1.046832714","1.099819023","1.383982511"
"VNG5063H","0","mle","1","20.2297297297297","0.0894591663445171","16.4342028209671","1.82505145355556","0.0498573185927874","-0.26685690854295","0.163772759919431","0.857761367933187","0.943849491817863","1.930612749","2.239073632","1.634444028","1.923479663","1.753474513","2.164527858","1.376265498","2.035932053","1.367653088"
"VNG5064H","1","burg","1","27.981308411215","0.0431122670518967","27.4935051518997","1.86101232755556","0.0183109544222495","-0.308918727437001","0.123552137188158","0.946066870389644","0.979534292034144","2.177246501","1.682105426","1.73820333","2.33967487","1.624402838","1.8215394","1.661355218","1.820276876","1.884306489"
"VNG5066G","1","mle","1","22.0147058823529","1.01163803585547","14.4777022022773","3.59673175722222","0.476709670528351","0.302279560704468","0.290102632661592","0.14329403986752","0.698536062712365","3.633941754","2.628754644","4.019248631","3.832892575","4.473727254","3.545255707","5.501205441","3.144458773","1.591101036"
"VNG5068G","0","burg","1","21.3857142857143","0.178815250022916","7.32999708794599","1.0308294","0.613246381144484","0.484328508192645","0.146022360443075","0.0578499726891181","0.641471893272349","0.983674768","0.879218595","1.27401655","1.233863165","1.021145422","0.952186533","0.792267928","0.993083837","1.148007802"
"VNG5069C","0","burg","1","21.695652173913","0.516874941871232","15.3929963550593","2.37069592133333","0.479938059815159","0.306584079753545","0.214024708846542","0.140658251863256","0.698536062712365","2.182944299","2.117538282","2.282856526","2.364244926","2.480339372","2.598862284","3.563396569","2.210637663","1.535443371"
"VNG5071C","1","burg","1","22.8549618320611","0.0978055087012384","5.03849728529212","0.670983422777778","0.350887932905649","0.134517243874199","0.164739863270789","0.273501081770469","0.755167863430565","0.722628847","0.524691033","0.799441719","0.728032484","0.657892168","0.548230613","0.551940602","0.645109533","0.860883806"
"VNG5073H","0","burg","1","20.3673469387755","0.388441479693816","7.53332244817742","2.57238714266667","0.559119369927113","0.412159159902817","0.137085346777578","0.0856964943015792","0.669878350320764","2.264297016","2.384158471","2.690047929","2.967366866","2.945940512","2.112874658","2.041050435","2.924705449","2.821042948"
"VNG5074C","1","burg","1","21.8540145985401","0.255098430822636","4.16406320929723","2.69900376233333","0.403730484779345","0.204973979705794","0.119033420192711","0.211996074252994","0.742002535661741","3.114654246","2.741118948","3.142120035","2.787080491","2.361372897","2.634979467","2.056478378","2.632186451","2.821042948"
"VNG5075C","1","mle","1","20.0939597315436","0.0462080179878854","16.7870365685612","0.324670022666667","0.215981041014504","-0.0453586119806615","0.206113533646274","0.481925264607984","0.80317594369457","0.316401541","0.32878946","0.264020321","0.305902812","0.35202976","0.27400996","0.499214121","0.283198278","0.298463951"
"VNG5076G","0","default","1","24","0.0338611817395528","10.9046475650249","0.830464013111111","0.250497718442638","0.00066362459018432","0.0612172823904566","0.42103565738296","0.794183811900967","0.814943923","0.741089619","0.845223511","0.892527047","0.829770114","0.861520788","0.867195486","0.748154294","0.873751336"
"VNG5077G","0","mle","1","22.3432835820896","0.0518038348822519","5.51452075813629","0.652576967444444","0.142052170973241","-0.143930438702346","0.145138084968643","0.631513499828764","0.845312228975235","0.57867644","0.867036915","0.632348126","0.655814787","0.731822129","0.515217283","0.644882867","0.592173547","0.655220613"
"VNG5078G","1","burg","1","25.3728813559322","0.0830297134385096","25.3368579178494","0.692597838555556","0.271319420036356","0.0284258933818078","0.170821605998507","0.386911453394559","0.79227492994086","0.86317507","0.767394921","0.572371819","0.680237466","0.692926495","0.597620639","0.654668826","0.520801611","0.8841837"
"VNG5079H","0","default","1","24","1.61216011540969","14.1805845509462","3.95341787633333","0.655780286700062","0.541040382266749","0.361242071166345","0.0407856338084909","0.624053553731403","3.222296729","2.888352324","3.846375151","3.812924183","5.704482469","4.786481521","6.541499598","3.196662322","1.58168659"
"VNG5080H","0","burg","1","26.7321428571429","0.243962028741524","25.9764718314594","1.72642133211111","0.618033254995105","0.49071100666014","0.132009211967202","0.0557284111616013","0.641471893272349","2.148979819","1.741812498","1.712916398","1.657433017","1.664818933","1.41595235","1.386668447","1.856600575","1.952609952"
"VNG5081H","0","burg","1","21.5395683453237","0.0798259178167794","4.17986889428718","0.687193822444444","0.305226641834381","0.0736355224458418","0.149959139249713","0.335374061071399","0.773307836008924","0.60496702","0.946036875","0.738616474","0.604811167","0.663303779","0.64253076","0.610236","0.642988623","0.731253704"
"VNG5083H","0","burg","1","20.5068493150685","0.168375900384683","3.22291958663273","1.00733703077778","0.841591991033442","0.788789321377923","0.131718183846451","0.00397494758284944","0.599901574974977","1.120996289","1.106814712","1.126455447","0.942845214","0.809626141","0.873493605","0.830968726","1.140389245","1.114443898"
"VNG5085H","0","default","1","24","0.0620260918575578","21.2660209034484","1.08641560966667","0.0586981372314652","-0.255069150358046","0.20800600100909","0.834039759500894","0.935332264224942","1.448236054","1.272528993","1.022607347","0.913754513","1.356510372","1.034393655","0.698819836","1.125466123","0.905423594"
"VNG5086H","0","default","1","24","0.154508128373973","3.06366104699421","1.02539520233333","0.397179480360307","0.196239307147076","0.177443747683678","0.219060503244904","0.745589872114058","0.928710528","1.106814712","0.990164165","0.947782921","1.164157345","0.653711891","0.978235876","1.103446798","1.355532585"
"VNG5088H","0","default","1","24","0.0279043364835839","0.900455440118478","0.539273416333333","0.0598913719621955","-0.253478170717073","0.158368707553321","0.830871984480037","0.934092171489403","0.529473226","0.715686029","0.451413756","0.505076686","0.604492953","0.421772126","0.590644335","0.473366313","0.561535323"
"VNG5089G","0","default","1","24","0.0519010788736797","21.5339592456656","0.509921279777778","0.379965336357337","0.173287115143116","0.117665549191052","0.238367976347678","0.75101514080037","0.640771021","0.4346137","0.484310584","0.497223779","0.423859418","0.524182942","0.519671685","0.525972251","0.538686138"
"VNG5090C","1","mle","1","21.2340425531915","0.16666797082746","19.2828128303083","0.859190254222222","0.382076357361103","0.176101809814804","0.233297599318316","0.235941554682858","0.75101514080037","1.318188298","0.93292942","0.603378904","0.726133576","0.940827579","0.801304211","0.68492675","0.967262927","0.757760623"
"VNG5091C","0","burg","1","27.7222222222222","0.116850139411227","26.9817742181724","0.847525548666667","0.655367414790565","0.54048988638742","0.119844741830867","0.0409325700324656","0.624053553731403","0.98624902","0.879218595","0.823219463","0.860482499","0.76450483","0.745296512","0.690103991","0.859128986","1.019526042"
"VNG5093C","0","burg","1","21.695652173913","0.077805791928739","3.5853390507863","0.603211008444444","0.325456456934725","0.100608609246301","0.168942525675107","0.306923377246933","0.755773367449982","0.574156971","0.867036915","0.579121611","0.600090961","0.549394231","0.504660681","0.580356808","0.520801611","0.653279287"
"VNG5097H","0","default","1","24","0.362059975684306","9.64023386768176","2.59078541644444","0.216320217777138","-0.0449063762971493","0.222362994137141","0.481300073805819","0.80317594369457","1.961125952","2.052097063","2.852447507","2.998528619","3.162698945","2.607844902","1.768951499","3.587176628","2.326197633"
"VNG5098C","0","mle","1","22.5112781954887","0.192978375399435","6.10911135720048","1.24659960877778","0.319787730026387","0.0930503067018495","0.218925052416757","0.314726552836385","0.759605309785598","1.159737932","1.705738642","1.624891206","1.183366248","1.468299853","0.858553314","1.100728032","0.976866141","1.141215111"
"VNG5100C","0","default","1","24","0.0530518020817511","3.95004821035354","2.39966757533333","0.0105770609559822","-0.319230585392024","0.164745452752292","0.968603256487025","0.989830964966764","2.188657008","2.124937151","2.364575598","2.197524768","2.406944098","2.882292374","1.695054226","3.062700531","2.674322424"
